,State,County,First Doubling,Last Delta,Inv Tau,Tau,R Squared
344,Michigan,Ingham,13,17,0.10134753025647068,9.867038668523977,0.6789027829806831
34,Georgia,Douglas,4,10,0.10104489753067283,9.896590767450117,0.8081364247288103
98,Virginia,Chesterfield,14,13,0.10102113578382438,9.89891859996412,0.7179256797904148
665,Utah,Salt Lake,21,67,0.10101958509944273,9.899070551671832,0.8589916808295389
154,Indiana,Allen,5,10,0.10082701952570838,9.917976398628195,0.857470953010023
122,California,Alameda,6,39,0.1007559356442705,9.924973586971648,0.8855996142116982
276,Florida,Escambia,8,10,0.10059849993257955,9.940506077826145,0.7420763654234163
448,Louisiana,St. James,4,10,0.10042132022690271,9.958044743292486,0.7193093808509283
429,Illinois,Randolph,3,3,0.10031343360164542,9.968754573501084,0.35816370710870316
31,Georgia,Muscogee,11,24,0.09976836141294017,10.023217639718576,0.5743176550481625
24,Georgia,Early,10,8,0.09922536266729434,10.078068480868449,0.7885278326793411
655,Massachusetts,Berkshire,14,23,0.09897138472037484,10.103930573724044,0.726790678495391
335,Kentucky,Campbell,7,4,0.09896134596540673,10.104955528288423,0.3893864906185827
195,Tennessee,Rutherford,10,10,0.09868609275116699,10.133140061806477,0.8090490213266665
517,Alabama,Marshall,8,19,0.09859579957462629,10.142419903427111,0.5567905211856369
458,Louisiana,De Soto,7,10,0.09857433291936278,10.144628630842824,0.799384041831173
168,North Carolina,Wake,15,8,0.09838170458142007,10.16449150027083,0.8237464688365513
400,Missouri,Jackson,6,10,0.09836983394712143,10.1657180852572,0.7004959594614804
568,South Carolina,Greenville,4,31,0.09832732906967895,10.170112515629883,0.7551373556886549
64,Texas,Brazoria,10,15,0.09820084523239717,10.18321173950642,0.8115199624152688
450,Louisiana,Assumption,12,5,0.09805760473276277,10.19808716239101,0.7185607616706793
144,Indiana,Johnson,12,18,0.09731177986520398,10.276248172474055,0.8655809439204086
132,California,Tulare,15,19,0.09718119904877931,10.290056202106111,0.7450454109405897
76,Texas,Victoria,7,3,0.09714549267393251,10.293838370417102,0.6760473498611027
567,South Carolina,Lexington,13,33,0.09703678778073875,10.3053699825634,0.8040492056430202
262,Florida,Collier,8,21,0.09702744878758118,10.306361885174011,0.8645167358754928
282,Florida,Martin,6,1,0.09689073624722591,10.320904131107076,0.621322220996252
92,Virginia,Loudoun,13,20,0.09669191042065317,10.34212681960209,0.8407231405665119
541,Wisconsin,Kenosha,12,6,0.09660238828372822,10.351710943863287,0.776324323393007
271,Florida,Seminole,11,11,0.0963741493544398,10.376226474614601,0.7827486578406332
208,Mississippi,Hinds,5,25,0.09593482621824027,10.423743278849742,0.7689125445452719
52,Texas,Fort Bend,14,15,0.09593457322102777,10.42377076818862,0.8917948076390442
408,Missouri,Franklin,12,6,0.09507609966449353,10.517890442801296,0.5472146391480315
566,South Carolina,Beaufort,11,10,0.0945220379409155,10.57954337193922,0.6985731415628023
443,Louisiana,Washington,11,13,0.09433083422664686,10.600987558292122,0.6750930042597961
161,Indiana,Ripley,7,1,0.09409471604136341,10.627589327762111,0.8503640297589492
548,Washington,King,1,198,0.09352763712164142,10.692026771716757,0.8308247236161658
333,Kentucky,Boone,8,12,0.09350073890292601,10.695102645533275,0.6675248079473686
246,Ohio,Columbiana,12,10,0.09323826239142663,10.725210598647442,0.5770040122059722
709,Nevada,Washoe,16,37,0.09321575517818075,10.727800231715257,0.8482146810258213
626,Maryland,Charles,13,16,0.09250173908257399,10.81060756173811,0.7759531131543776
86,Texas,Randall,5,12,0.09235007118707417,10.828361983330725,0.6026524319206689
650,Idaho,Canyon,4,18,0.09223237998866064,10.842179288043345,0.5721498752201186
141,Indiana,Hendricks,17,13,0.09140484120082125,10.940339558196348,0.7673044245798348
160,Indiana,Morgan,6,0,0.09138685045389354,10.94249331313283,0.6181381195172299
59,Texas,El Paso,11,72,0.09131900087000461,10.950623533688576,0.8329229799061139
437,Louisiana,Bossier,9,12,0.09131032543276214,10.951663957614151,0.7444761523284148
7,Georgia,Lee,14,7,0.09119664533351496,10.96531562474588,0.8355454812882663
359,Michigan,Kalamazoo,9,7,0.09104730284606609,10.983301742509633,0.842283852298758
579,Oklahoma,Tulsa,17,15,0.09085849553106536,11.006125449855054,0.8100754361505579
695,New Hampshire,Rockingham,14,9,0.09001402226715101,11.109380236693767,0.8427557679026332
494,Colorado,Boulder,4,10,0.08940931685347682,11.18451672814804,0.7765777128288498
563,South Carolina,Charleston,14,5,0.08922068194765062,11.208163602546104,0.7037851598644581
202,Tennessee,Putnam,9,1,0.08921774416781604,11.208532667212795,0.3186027023360304
456,Louisiana,Rapides,4,13,0.08915554582558373,11.216352171252636,0.8544421993725018
46,Georgia,Ware,10,2,0.08908095522935817,11.225744014815332,0.49780285531904334
713,Hawaii,Honolulu,11,6,0.08895901096693798,11.241132170091849,0.8546323848110955
123,California,San Mateo,9,16,0.0886916968571484,11.275012604738565,0.8902105529589781
269,Florida,Sarasota,9,17,0.08837129813474348,11.315891257761738,0.8711492425914368
21,Georgia,Houston,10,9,0.08828578516411317,11.326851747890268,0.6774946017299709
139,California,Merced,11,0,0.08803238367924564,11.359456125186785,0.4810638136241086
409,Illinois,Cook,45,895,0.08791550703970716,11.374557614145917,0.7219121496105083
32,Georgia,Terrell,8,3,0.08758877392790722,11.416988218411214,0.5808431347681632
341,Michigan,St. Clair,17,22,0.08756325462700415,11.4203155679826,0.6182505093095987
378,Pennsylvania,Beaver,9,1,0.08756196473762366,11.420483802487356,0.7890943970997334
347,Michigan,Monroe,10,13,0.087508998526923,11.427396231626856,0.812410343857304
349,Michigan,Jackson,10,5,0.08748176630678375,11.43095346855674,0.892656374939051
30,Georgia,Randolph,14,8,0.0869566787008803,11.49997924184605,0.41965083230139966
426,Illinois,Rock Island,10,6,0.08693240397922367,11.503190458634897,0.7052560065354571
636,South Dakota,Minnehaha,19,46,0.08652565454358085,11.55726593777253,0.6820415624314657
129,California,Ventura,9,11,0.0865201319095993,11.558003645265494,0.8389888361146797
342,Michigan,Kent,9,26,0.08649817799842378,11.56093715659794,0.8741446546542052
589,Kansas,Johnson,12,8,0.0864077819258744,11.573031707466557,0.7794580430841448
627,Maryland,Carroll,11,17,0.0863816888273611,11.576527543916848,0.6420766891451762
42,Georgia,Crisp,10,8,0.08622262455827083,11.597884025487785,0.6120197091666496
553,Washington,Whatcom,10,5,0.08611501737279197,11.612376453121984,0.6341385078885932
91,Virginia,Virginia Beach city,17,12,0.08608535068572921,11.616378304023971,0.7826289036978084
310,New York,Onondaga,3,-19,0.0855309214651924,11.691678084012684,0.3773190950480526
475,Iowa,Polk,10,6,0.085214501395595,11.735091840268552,0.6821338280444714
113,California,Los Angeles,44,425,0.08494786147614289,11.771926716258115,0.7326266501156693
502,Alabama,Jefferson,1,31,0.08490131033876769,11.778381228862841,0.7685725484510704
182,North Carolina,Rowan,12,7,0.08463503249011471,11.815438247947728,0.7354151106460313
411,Illinois,McHenry,14,18,0.08434590388132032,11.855940288541566,0.734947670800505
165,Indiana,Dearborn,11,5,0.08417892888944464,11.879457403328779,0.7401918195954916
48,Georgia,Upson,8,3,0.08371178865079958,11.945748814082334,0.32389212913203724
277,Florida,Lake,7,1,0.08363067144562186,11.957335541066625,0.7333860484734738
177,North Carolina,Guilford,6,3,0.08304272406711075,12.041994181113962,0.869038805516984
574,South Carolina,Clarendon,9,3,0.08301443545278904,12.046097700305483,0.7074250265595454
130,California,San Joaquin,8,8,0.08296896167801274,12.052699946768238,0.7014897358659558
518,Alabama,Etowah,7,6,0.08243031030552712,12.131459851279342,0.5636111566667212
465,Louisiana,Acadia,6,3,0.08237571081352618,12.139500711122228,0.2876747298252326
371,Pennsylvania,Pike,13,15,0.08151656626705203,12.267445082560934,0.8714577119166367
190,Tennessee,Williamson,11,1,0.08147130027257958,12.274260956364843,0.8312182798181676
116,California,San Diego,31,98,0.08143526009122262,12.27969308233085,0.8102691852317503
325,New York,Chemung,9,4,0.08124886328860405,12.307864498336432,0.6570107658449518
691,Maine,York,6,11,0.08120390656168486,12.314678472277325,0.7902679742100289
506,Alabama,Lee,7,16,0.08101354907956658,12.343614264051817,0.7904959347543458
415,Illinois,St. Clair,12,17,0.08089295704558659,12.362015637980175,0.7379642486718716
57,Texas,Montgomery,13,13,0.08081200960303712,12.374398371135388,0.8201138394653913
329,Kentucky,Kenton,15,5,0.08055477208356572,12.413913839426202,0.6137289335119943
183,North Carolina,Henderson,11,5,0.07993078193127465,12.51082468903921,0.5076864121567739
505,Alabama,Shelby,6,18,0.07990297291186248,12.51517889206772,0.656038399616894
469,Louisiana,Union,11,4,0.07976899453253962,12.5361991317576,0.4644530372898572
19,Georgia,Richmond,12,10,0.0795252549985354,12.574621735176038,0.6671007584623145
472,Louisiana,West Feliciana,8,6,0.079302519659353,12.609939813962256,0.4329993180457455
634,Maryland,St. Mary's,9,3,0.07929672273148572,12.610861654222413,0.5743318546999087
247,Ohio,Licking,10,14,0.0790903808135257,12.643762613278303,0.6928140741776995
569,South Carolina,Horry,15,8,0.0790592387091979,12.648743098555263,0.7861036801209553
352,Michigan,Clinton,10,3,0.07862383825955907,12.718788883070335,0.593932944674763
104,Virginia,Norfolk city,9,7,0.07849118087212431,12.740284817846895,0.6367965141988854
593,Kansas,Shawnee,9,3,0.07846779475432666,12.744081863532434,0.7208966929666011
652,Massachusetts,Suffolk,42,441,0.07824873466134405,12.779759370268945,0.6999285238938652
705,Connecticut,Tolland,3,17,0.07783068301688266,12.848403241984716,0.8496747691388781
483,Colorado,Douglas,14,26,0.07728892084698105,12.93846503536814,0.7333091333410385
71,Texas,Williamson,6,16,0.0768179863627445,13.017784601614915,0.6563045344667574
571,South Carolina,York,9,5,0.07676554775668853,13.026677060516,0.7433845359699335
143,Indiana,St. Joseph,17,8,0.07651813146587053,13.068797954717846,0.7451839009638243
194,Tennessee,Knox,11,9,0.07651580801445691,13.069194797120351,0.7479278629210411
15,Georgia,Forsyth,10,11,0.07600083966791184,13.1577493665798,0.7249152797269558
363,Michigan,Unknown,0,5,0.07567884213839572,13.213732818100942,0.32905224778693065
152,Indiana,Clark,10,10,0.0752813580851295,13.283501061035354,0.6661803639765772
199,Tennessee,Montgomery,11,7,0.07494422083490444,13.343257009808834,0.5147558376339566
283,Florida,Indian River,10,3,0.07489486121772845,13.352050911649046,0.6402030991978915
595,Oregon,Marion,13,17,0.07468032315100552,13.390408046011993,0.7021667268267345
419,Illinois,Madison,13,7,0.07458874107601914,13.40684915141312,0.5640659614932638
234,Ohio,Summit,6,10,0.07426283421753258,13.46568590515647,0.5844038526980748
677,New Mexico,McKinley,11,14,0.07405440465376897,13.503585703988309,0.5859122699503906
521,Arkansas,Pulaski,6,20,0.0736759233203029,13.572955111163564,0.583606854407628
118,California,Sacramento,20,33,0.07359740444070367,13.5874356928672,0.8162884701328937
96,Virginia,Alexandria city,19,6,0.07337848538752256,13.627972759574595,0.5899576895854018
80,Texas,Guadalupe,12,0,0.07321675244132249,13.658076419073927,0.6661538988234422
230,Ohio,Butler,16,6,0.07318607672081998,13.663801160084866,0.6030804134696167
455,Louisiana,Iberia,9,11,0.07294778049215417,13.708436271170088,0.4298301478092204
261,Florida,Volusia,16,14,0.0727347542711822,13.748585666098881,0.680603725886434
159,Indiana,Elkhart,16,10,0.07253243696470607,13.786935085148112,0.650934787134608
69,Texas,Brazos,7,6,0.072312922447849,13.828786974018165,0.7509731229166697
404,Missouri,Kansas City,1,8,0.07230248595327399,13.830783088789746,0.5114450834394705
486,Colorado,Eagle,6,20,0.07158513858777416,13.969379954106667,0.7314304709185472
479,Iowa,Tama,11,17,0.07156783300557412,13.972757843906132,0.41485181808811766
477,Iowa,Muscatine,15,9,0.07144020406776934,13.997720373970148,0.4047026458208378
266,Florida,St. Johns,11,7,0.07034858751256723,14.21492648763357,0.7643792589406676
594,Oregon,Washington,19,16,0.06998212999602405,14.289362156550734,0.7376162014156699
181,North Carolina,Davidson,8,5,0.06937336949734967,14.414753200624109,0.7560468211510042
47,Georgia,Calhoun,10,2,0.06921296580195155,14.44815994248008,0.30213439520338264
598,Oregon,Clackamas,13,6,0.06890849747844952,14.511998325210046,0.7550417821215669
334,Kentucky,Hopkins,3,20,0.068844102355763,14.525572500493052,0.31217645882551254
237,Ohio,Lake,8,7,0.06883582131055417,14.527319947102544,0.7356018331520687
179,North Carolina,Orange,6,17,0.06840958431322727,14.61783476743983,0.6281816618405669
507,Alabama,Madison,4,12,0.06744518873335992,14.82685449889441,0.46116131778865743
322,New York,St. Lawrence,6,7,0.06734397204141913,14.8491389754225,0.3826206100882705
26,Georgia,Spalding,14,4,0.06731612066088331,14.85528266011754,0.3998829142290531
663,Massachusetts,Franklin,6,11,0.06729495908897849,14.859954052097478,0.5687801027632179
228,Ohio,Stark,16,6,0.06722679850205664,14.875020412721387,0.5658469822969113
633,Maryland,Washington,11,3,0.06721213050629275,14.878266653165753,0.3990387747662072
253,Ohio,Pickaway,10,4,0.0667075499272458,14.990806904025769,0.4161099214984664
229,Ohio,Trumbull,13,6,0.0666971906394423,14.993135249217474,0.8093928293375338
264,Florida,Pasco,16,12,0.06657731087306275,15.020132037273394,0.6985031884433606
317,New York,Columbia,9,-2,0.06636873309796917,15.06733597767891,0.6839251139640607
225,Mississippi,Lauderdale,1,15,0.06623439425841769,15.0978960583294,0.4865966407964774
241,Ohio,Miami,7,3,0.06598750860069479,15.154383325050569,0.6974659522964383
538,Wisconsin,Waukesha,8,10,0.06481967898859409,15.42741364356284,0.7597715830056799
146,Indiana,Floyd,15,11,0.0646616530147406,15.465116547082935,0.5252047234724665
23,Georgia,Rockdale,9,0,0.06464295979713251,15.469588693622269,0.3799893187423904
10,Georgia,Coweta,13,5,0.06452231466326264,15.498514044620512,0.5438025275232019
425,Illinois,Champaign,6,3,0.06410796908242716,15.59868475499894,0.4287054132189082
127,California,Fresno,17,17,0.06402470788654327,15.618970129033269,0.6846088253466991
286,Florida,Marion,6,7,0.0638800183945583,15.654347402085067,0.6005106742857786
169,North Carolina,Forsyth,15,1,0.06331948088739973,15.79292795811589,0.6070891541532529
420,Illinois,Kendall,12,7,0.06320300612115644,15.822032231869777,0.6472669437016481
355,Michigan,Berrien,5,8,0.06318856287277283,15.825648733512939,0.5625044539447009
451,Louisiana,West Baton Rouge,13,3,0.06315240675471946,15.834709259521114,0.3608296413309811
562,South Carolina,Kershaw,11,5,0.0630468277594076,15.861226258933922,0.7298482281853236
114,California,Santa Clara,33,62,0.06292234712347045,15.892604864814292,0.8245209676938873
533,Minnesota,Hennepin,1,31,0.0625118862007439,15.996957711189651,0.6986394478069671
390,Pennsylvania,Columbia,12,11,0.06243699077433187,16.016146639967545,0.35498998825582406
578,South Carolina,Berkeley,11,5,0.06233083618663157,16.043423467090843,0.3634031177005141
474,Iowa,Johnson,15,24,0.062306417579870016,16.049711070582887,0.745497032405003
373,Pennsylvania,Cumberland,16,4,0.062101736366821175,16.10260933918533,0.6678731984973052
559,Washington,Franklin,9,18,0.061895909425825055,16.15615650979944,0.5905478026012393
37,Georgia,Barrow,14,2,0.061547459596214764,16.247624297746015,0.36797966195794224
38,Georgia,Coffee,13,4,0.061451352439112004,16.273034852907955,0.3288978843097122
3,Georgia,Cherokee,14,12,0.061319953798593174,16.3079053073739,0.8383517218474587
551,Washington,Clark,17,4,0.06081410472823985,16.443553752352397,0.562115746610699
327,Kentucky,Fayette,18,4,0.06037749639843804,16.562462169694566,0.6196961098288764
204,Tennessee,Madison,11,4,0.06027026812233352,16.59192884243108,0.5020389282663175
388,Pennsylvania,Butler,3,0,0.05989471080203895,16.695965079540173,0.350594675187027
555,Washington,Island,11,2,0.05956290339979503,16.78897338646929,0.4280007764887205
666,Utah,Davis,14,7,0.059451574901958855,16.820412270811875,0.7518829815964642
75,Texas,Potter,11,11,0.0591922185854662,16.894112501563434,0.4627010270682632
525,Arkansas,Crittenden,11,12,0.059164640729633976,16.901987194847056,0.7722207416327799
33,Georgia,Worth,9,5,0.05904580524615849,16.936004104458544,0.3840010883386095
424,Illinois,McLean,11,4,0.05891179668676339,16.974528977906477,0.5589600333870305
51,Texas,Bexar,35,112,0.058560053143675635,17.076487235189575,0.7202739845099985
635,Maryland,Cecil,11,5,0.05846759684065838,17.10349072025823,0.38684309448031823
445,Louisiana,Webster,13,4,0.058104635870664466,17.210330725174963,0.287774038498169
357,Michigan,Calhoun,12,6,0.05781307667726627,17.29712475920224,0.5949122618657688
306,New York,Broome,13,17,0.05780504555722782,17.299527928059252,0.7531536862623899
281,Florida,Leon,12,6,0.057682960368734895,17.33614213985481,0.621740412162677
473,Louisiana,Franklin,5,7,0.0574082236107182,17.41910717845829,0.41063770383649684
454,Louisiana,St. Landry,10,4,0.057344071920116355,17.438594200165248,0.2511955991513927
564,South Carolina,Spartanburg,18,13,0.05722479309728304,17.47494304260715,0.6487170142998283
196,Tennessee,Hamilton,11,3,0.05694795870485652,17.559891921371364,0.5872435486591286
531,Minnesota,Olmsted,14,6,0.056381936055005084,17.736177044797117,0.6868028611276845
546,Washington,Snohomish,43,7,0.05628494440369815,17.766740477304193,0.7797040157717029
97,Virginia,James City,8,1,0.05600771407110414,17.85468335184075,0.4362190331601866
393,Pennsylvania,Fayette,15,10,0.05597941663283452,17.863708844251402,0.36310340734539315
105,Virginia,Newport News city,11,4,0.055819741405638404,17.914808897681297,0.5235853395164994
648,Idaho,Twin Falls,12,15,0.05572577897833168,17.945016082930636,0.5154364453595818
643,West Virginia,Kanawha,10,3,0.0554305860023869,18.040581421183944,0.6239838127252135
680,North Dakota,Cass,11,6,0.05517560308610548,18.12395232797779,0.7377927966782124
330,Kentucky,Daviess,10,9,0.055041840685225996,18.167997064611505,0.5336604082506515
8,Georgia,Bartow,5,8,0.05490021350280992,18.21486541120314,0.4007575975352441
153,Indiana,Shelby,13,5,0.054736520990173954,18.269337946770776,0.61633987753564
487,Colorado,Larimer,10,7,0.054616958775327774,18.30933143153573,0.6448446152574581
240,Ohio,Delaware,8,5,0.0545974797289241,18.31586375351004,0.5108640527792623
681,Arizona,Maricopa,51,130,0.05459552175307389,18.316520620918823,0.6065498537406586
552,Washington,Kitsap,16,4,0.054323494987253265,18.40824122664871,0.6202176136940729
396,Pennsylvania,Lawrence,13,5,0.05360378512973324,18.65539900922621,0.6865407521738509
668,Utah,Summit,2,16,0.053539808577635226,18.6776909848296,0.5362890874959528
350,Michigan,Eaton,10,2,0.05322555686117277,18.787966889821018,0.3362302124484254
231,Ohio,Lorain,7,4,0.0524419478441129,19.06870436949758,0.4728702941844676
715,Rhode Island,Unknown,15,127,0.05235341687259328,19.10095003796198,0.3688796848619875
255,Florida,Manatee,26,7,0.05141117651522273,19.451023450200605,0.48740548738052003
147,Indiana,Bartholomew,16,17,0.051295405932429684,19.49492321626771,0.29992658094233277
570,South Carolina,Anderson,14,11,0.051294645086336695,19.495212381659876,0.5504923663664815
212,Mississippi,Harrison,14,8,0.050624003183993314,19.753475369490094,0.6474825664031963
270,Florida,Clay,15,11,0.05016836733912595,19.93287908375099,0.6830753177962636
65,Texas,Hays,15,1,0.050153871075028264,19.938640399343022,0.40893814253784794
263,Florida,Alachua,9,10,0.04980258133376119,20.079280495489087,0.7372911506012891
303,New York,Schenectady,4,18,0.04979903558081954,20.080710165101216,0.6130544487230654
301,New York,Albany,2,37,0.04977303023646687,20.09120190691819,0.3651158087950245
529,Minnesota,Ramsey,20,9,0.049594004280449536,20.16372774307741,0.6240870531720187
608,New Jersey,Unknown,5,-366,0.04956376769384556,20.176028710669875,0.027164496036249645
547,Washington,Spokane,26,15,0.049458263282565154,20.21906823308364,0.648836209528933
157,Indiana,Harrison,13,3,0.04941083808196784,20.23847477229785,0.3524295603824625
188,North Carolina,Burke,10,13,0.04920635361600224,20.32257882394263,0.23285354730835883
686,Arizona,Yavapai,11,4,0.04889199494877113,20.45324599758706,0.5205389118904818
131,California,Stanislaus,15,8,0.0487254830979333,20.52314182273167,0.6532146790963334
218,Mississippi,Rankin,4,6,0.04866442797010648,20.548890467063103,0.38969643306965346
115,California,San Francisco,39,48,0.04863170746844008,20.562716220666477,0.7063197176609498
558,Washington,Grant,11,6,0.04848715120548027,20.62402049075168,0.4722954879577901
244,Ohio,Warren,17,7,0.048483220015217314,20.625692758982023,0.5906759573607251
88,Texas,Moore,8,8,0.04836039563035656,20.67807731854627,0.08491937172952127
