COUNTY,CBSA,NAME,POP100
1,15500,Alamance County,151131
3,25860,Alexander County,37198
5,99999,Alleghany County,11155
7,16740,Anson County,26948
9,99999,Ashe County,27281
15,99999,Bertie County,21282
17,99999,Bladen County,35190
19,48900,Brunswick County,107431
21,11700,Buncombe County,238318
23,25860,Burke County,90912
25,16740,Cabarrus County,178011
29,21020,Camden County,9980
31,33980,Carteret County,66469
33,99999,Caswell County,23719
37,20500,Chatham County,63505
41,99999,Chowan County,14793
45,43140,Cleveland County,98078
47,99999,Columbus County,58098
49,35100,Craven County,103505
51,22180,Cumberland County,319431
53,47260,Currituck County,23547
55,28620,Dare County,33920
57,45640,Davidson County,162878
59,49180,Davie County,41240
61,99999,Duplin County,58505
63,20500,Durham County,267587
65,40580,Edgecombe County,56552
69,39580,Franklin County,60619
71,16740,Gaston County,206086
73,99999,Gates County,12197
75,99999,Graham County,8861
77,99999,Granville County,59916
83,40260,Halifax County,54691
85,20380,Harnett County,114678
87,11700,Haywood County,59036
89,11700,Henderson County,106740
91,99999,Hertford County,24669
93,22180,Hoke County,46952
97,44380,Iredell County,159437
99,99999,Jackson County,40271
101,39580,Johnston County,168878
103,35100,Jones County,10153
105,41820,Lee County,57866
107,28820,Lenoir County,59495
109,30740,Lincoln County,78265
113,99999,Macon County,33922
115,11700,Madison County,20764
117,99999,Martin County,24505
119,16740,Mecklenburg County,919628
121,99999,Mitchell County,15579
123,99999,Montgomery County,27798
125,43860,Moore County,88247
129,48900,New Hanover County,202667
131,40260,Northampton County,22099
133,27340,Onslow County,177772
135,20500,Orange County,133801
139,21020,Pasquotank County,40661
143,21020,Perquimans County,13453
145,20500,Person County,39464
147,24780,Pitt County,168148
149,99999,Polk County,20510
151,24660,Randolph County,141752
153,40460,Richmond County,46639
155,31300,Robeson County,134168
157,24660,Rockingham County,93643
159,41580,Rowan County,138428
163,99999,Sampson County,63431
165,29900,Scotland County,36157
167,10620,Stanly County,60585
169,49180,Stokes County,47401
173,99999,Swain County,13981
175,14820,Transylvania County,33090
179,16740,Union County,201292
181,25780,Vance County,45422
183,39580,Wake County,900993
189,14380,Watauga County,51079
191,24140,Wayne County,122623
193,35900,Wilkes County,69340
195,48980,Wilson County,81234
197,49180,Yadkin County,38406
13,47820,Beaufort County,47759
67,49180,Forsyth County,350670
79,24780,Greene County,21362
81,24660,Guilford County,488406
127,40580,Nash County,95840
137,35100,Pamlico County,13144
141,48900,Pender County,52217
161,22580,Rutherford County,67810
177,99999,Tyrrell County,4407
185,99999,Warren County,20972
11,99999,Avery County,17797
27,25860,Caldwell County,83029
35,25860,Catawba County,154358
39,99999,Cherokee County,27444
43,99999,Clay County,10587
95,99999,Hyde County,5810
111,99999,McDowell County,44996
171,34340,Surry County,73673
187,99999,Washington County,13228
199,99999,Yancey County,17818