,date,county,state,fips,cases,deaths,Lat,Lng
5,2020-04-01,Jackson,North Carolina,37099.0,1,0,36.3895976,-77.4213614
1580,2020-04-10,Alamance,North Carolina,37001.0,33,0,36.0351361,-79.48585489999999
1581,2020-04-10,Alexander,North Carolina,37003.0,2,0,35.6987805,-82.6365922
1582,2020-04-10,Alleghany,North Carolina,37005.0,2,0,36.4940839,-81.1196075
1583,2020-04-10,Anson,North Carolina,37007.0,9,0,34.9054732,-80.1875065
1584,2020-04-10,Ashe,North Carolina,37009.0,3,0,36.4339674,-81.47183869999999
1585,2020-04-10,Beaufort,North Carolina,37013.0,12,0,34.7182174,-76.6638186
1586,2020-04-10,Bertie,North Carolina,37015.0,12,1,36.0245185,-76.964306
1587,2020-04-10,Bladen,North Carolina,37017.0,1,0,34.5882404,-78.5660852
1588,2020-04-10,Brunswick,North Carolina,37019.0,30,2,34.0275398,-78.2020387
1589,2020-04-10,Buncombe,North Carolina,37021.0,36,2,35.59313770000001,-82.4752757
1590,2020-04-10,Burke,North Carolina,37023.0,44,2,35.7616931,-81.73494199999999
1591,2020-04-10,Cabarrus,North Carolina,37025.0,94,2,35.4168123,-80.5882803
1592,2020-04-10,Caldwell,North Carolina,37027.0,14,0,35.9227448,-81.5596427
1593,2020-04-10,Carteret,North Carolina,37031.0,20,1,34.9019263,-76.5488232
1594,2020-04-10,Caswell,North Carolina,37033.0,3,0,36.3860217,-79.29021329999999
1595,2020-04-10,Catawba,North Carolina,37035.0,29,1,35.70735579999999,-81.07563449999999
1596,2020-04-10,Chatham,North Carolina,37037.0,26,0,35.7211289,-79.17806999999999
1597,2020-04-10,Cherokee,North Carolina,37039.0,10,1,35.4770574,-83.3205859
1598,2020-04-10,Chowan,North Carolina,37041.0,2,0,36.1354131,-76.6181655
1599,2020-04-10,Clay,North Carolina,37043.0,3,0,35.0964003,-83.7199136
1600,2020-04-10,Cleveland,North Carolina,37045.0,32,0,35.7331953,-80.6770111
1601,2020-04-10,Columbus,North Carolina,37047.0,20,1,35.25316979999999,-82.1970584
1602,2020-04-10,Craven,North Carolina,37049.0,22,1,35.0877672,-77.0564464
1603,2020-04-10,Cumberland,North Carolina,37051.0,75,1,34.9542604,-78.74762079999999
1604,2020-04-10,Currituck,North Carolina,37053.0,3,0,36.4465659,-76.0142968
1605,2020-04-10,Dare,North Carolina,37055.0,8,1,35.6549619,-75.62080879999999
1606,2020-04-10,Davidson,North Carolina,37057.0,81,2,35.4993031,-80.8486846
1607,2020-04-10,Davie,North Carolina,37059.0,21,2,35.9367033,-80.5882803
1608,2020-04-10,Duplin,North Carolina,37061.0,12,0,34.8840095,-78.0195387
1609,2020-04-10,Durham,North Carolina,37063.0,259,1,35.9940329,-78.898619
1610,2020-04-10,Edgecombe,North Carolina,37065.0,18,1,35.8840053,-77.6536125
1611,2020-04-10,Forsyth,North Carolina,37067.0,111,3,36.1200003,-80.1875065
1612,2020-04-10,Franklin,North Carolina,37069.0,26,1,35.1823171,-83.3815429
1613,2020-04-10,Gaston,North Carolina,37071.0,73,3,36.5004281,-77.6449804
1614,2020-04-10,Gates,North Carolina,37073.0,4,0,36.5038287,-76.7698726
1615,2020-04-10,Granville,North Carolina,37077.0,87,0,36.2799451,-78.6114999
1616,2020-04-10,Greene,North Carolina,37079.0,9,0,35.5013936,-77.69941969999999
1617,2020-04-10,Guilford,North Carolina,37081.0,127,9,36.0899873,-79.8296743
1618,2020-04-10,Halifax,North Carolina,37083.0,17,0,36.328486,-77.5894199
1619,2020-04-10,Harnett,North Carolina,37085.0,35,2,35.34528,-78.7925
1620,2020-04-10,Haywood,North Carolina,37087.0,3,0,35.624394,-82.99316069999999
1621,2020-04-10,Henderson,North Carolina,37089.0,55,2,36.3294305,-78.39920099999999
1622,2020-04-10,Hertford,North Carolina,37091.0,4,1,36.1901579,-76.4660519
1623,2020-04-10,Hoke,North Carolina,37093.0,16,0,35.0432488,-79.24511489999999
1624,2020-04-10,Iredell,North Carolina,37097.0,63,1,35.8310501,-80.89865019999999
1625,2020-04-10,Johnston,North Carolina,37101.0,80,4,35.4403514,-78.3842227
1626,2020-04-10,Jones,North Carolina,37103.0,3,0,35.0306293,-77.3324425
1627,2020-04-10,Lee,North Carolina,37105.0,4,0,35.4693744,-79.1548533
1628,2020-04-10,Lenoir,North Carolina,37107.0,13,0,35.9140196,-81.5389849
1629,2020-04-10,Lincoln,North Carolina,37109.0,13,0,35.4637028,-81.20781640000001
1630,2020-04-10,Macon,North Carolina,37113.0,2,1,36.4387585,-78.0838809
1631,2020-04-10,Martin,North Carolina,37117.0,5,0,35.8733053,-77.1485163
1632,2020-04-10,McDowell,North Carolina,37111.0,16,0,35.6984405,-82.08429009999999
1633,2020-04-10,Mecklenburg,North Carolina,37119.0,906,10,35.2632655,-80.8543847
1634,2020-04-10,Mitchell,North Carolina,37121.0,3,0,36.0277763,-82.1496049
1635,2020-04-10,Montgomery,North Carolina,37123.0,12,1,35.3587922,-79.87448359999999
1636,2020-04-10,Moore,North Carolina,37125.0,57,0,35.3674493,-79.4703885
1637,2020-04-10,Nash,North Carolina,37127.0,29,1,35.9597948,-77.973865
1638,2020-04-10,New Hanover,North Carolina,37129.0,50,0,34.2154913,-77.88245959999999
1639,2020-04-10,Northampton,North Carolina,37131.0,55,0,36.4159635,-77.4242972
1640,2020-04-10,Onslow,North Carolina,37133.0,26,1,34.6540094,-77.4701972
1641,2020-04-10,Orange,North Carolina,37135.0,104,1,36.0263022,-79.1096901
1642,2020-04-10,Pamlico,North Carolina,37137.0,3,0,35.1337865,-76.6874701
1643,2020-04-10,Pasquotank,North Carolina,37139.0,11,0,36.2927068,-76.317414
1644,2020-04-10,Pender,North Carolina,37141.0,4,0,34.5170729,-77.8367282
1645,2020-04-10,Perquimans,North Carolina,37143.0,3,0,36.1329763,-76.4100267
1646,2020-04-10,Person,North Carolina,37145.0,8,0,36.3528221,-78.9288242
1647,2020-04-10,Pitt,North Carolina,37147.0,60,1,35.5589221,-77.4242972
1648,2020-04-10,Polk,North Carolina,37149.0,8,0,35.2686842,-82.1713632
1649,2020-04-10,Randolph,North Carolina,37151.0,46,2,35.7449531,-79.8296743
1650,2020-04-10,Richmond,North Carolina,37153.0,4,0,35.003045,-79.7848422
1651,2020-04-10,Robeson,North Carolina,37155.0,7,0,34.6383858,-79.1096901
1652,2020-04-10,Rockingham,North Carolina,37157.0,10,2,34.9393201,-79.7739457
1653,2020-04-10,Rowan,North Carolina,37159.0,75,2,35.6303455,-80.54384499999999
1654,2020-04-10,Rutherford,North Carolina,37161.0,31,1,35.4258737,-81.909826
1655,2020-04-10,Sampson,North Carolina,37163.0,10,0,34.9197548,-78.3842227
1656,2020-04-10,Scotland,North Carolina,37165.0,4,0,34.8451203,-79.4703885
1657,2020-04-10,Stanly,North Carolina,37167.0,11,1,35.30145540000001,-80.23213129999999
1658,2020-04-10,Stokes,North Carolina,37169.0,8,0,36.4244396,-80.23213129999999
1659,2020-04-10,Surry,North Carolina,37171.0,10,0,36.3743453,-80.6770787
1660,2020-04-10,Transylvania,North Carolina,37175.0,6,0,35.2190534,-82.7778579
1661,2020-04-10,Union,North Carolina,37179.0,100,1,34.9338651,-80.54384499999999
1662,2020-04-10,Vance,North Carolina,37181.0,19,0,36.3479057,-78.4297187
1663,2020-04-10,Wake,North Carolina,37183.0,391,0,35.8031909,-78.5660852
1664,2020-04-10,Warren,North Carolina,37185.0,3,0,36.4352131,-78.0195387
1665,2020-04-10,Washington,North Carolina,37187.0,13,1,35.54655169999999,-77.0521742
1666,2020-04-10,Watauga,North Carolina,37189.0,7,0,36.1941825,-81.73494199999999
1667,2020-04-10,Wayne,North Carolina,37191.0,52,0,35.3565499,-77.973865
1668,2020-04-10,Wilkes,North Carolina,37193.0,4,1,36.202858,-81.2518833
1669,2020-04-10,Wilson,North Carolina,37195.0,44,3,35.7212689,-77.9155395
1670,2020-04-10,Yadkin,North Carolina,37197.0,10,0,36.2023597,-80.6770787
