,County,State,Average Rating,Hospitals,Emergency Services,County Beds,fips
0,LOS ANGELES,CA,2.9027777777777777,90.0,0.5833333333333334,15072.0,6037
1,ORANGE,CA,3.1,28.0,0.9,3054.0,6059
2,SAN BERNARDINO,CA,2.4,22.0,0.9333333333333333,3230.0,6071
3,SAN DIEGO,CA,4.0,21.0,0.9333333333333333,4205.0,6073
4,RIVERSIDE,CA,2.4375,17.0,0.9375,987.0,6065
5,ALAMEDA,CA,3.1818181818181817,16.0,1.0,2480.0,6001
6,SANTA CLARA,CA,3.111111111111111,12.0,1.0,1925.0,6085
7,SACRAMENTO,CA,2.875,12.0,1.0,2503.0,6067
8,SAN FRANCISCO,CA,2.888888888888889,12.0,0.8888888888888888,2599.0,6075
9,KERN,CA,2.125,11.0,0.875,1061.0,6029
10,SONOMA,CA,4.0,9.0,1.0,825.0,6097
11,SAN JOAQUIN,CA,2.857142857142857,8.0,0.8571428571428571,1001.0,6077
12,CONTRA COSTA,CA,3.5714285714285716,8.0,1.0,1222.0,6013
13,VENTURA,CA,3.1666666666666665,8.0,0.8333333333333334,927.0,6111
14,SAN MATEO,CA,3.8,7.0,1.0,1118.0,6081
15,FRESNO,CA,2.4,7.0,0.8,1557.0,6019
16,SOLANO,CA,3.0,6.0,1.0,781.0,6095
17,SANTA BARBARA,CA,3.75,6.0,0.75,809.0,6083
18,STANISLAUS,CA,2.5,5.0,1.0,652.0,6099
19,HUMBOLDT,CA,3.3333333333333335,5.0,1.0,165.0,6023
20,BUTTE,CA,2.75,4.0,1.0,575.0,6007
21,TULARE,CA,1.5,4.0,1.0,,6107
22,MONTEREY,CA,3.5,4.0,1.0,326.0,6053
23,SANTA CRUZ,CA,3.0,4.0,1.0,252.0,6087
24,SHASTA,CA,2.0,4.0,1.0,267.0,6089
25,PLUMAS,CA,,3.0,,,6063
26,PLACER,CA,4.0,3.0,1.0,735.0,6061
27,MARIN,CA,4.0,3.0,1.0,520.0,6041
28,NAPA,CA,3.5,3.0,0.5,352.0,6055
29,MENDOCINO,CA,3.6666666666666665,3.0,1.0,152.0,6045
30,SAN LUIS OBISPO,CA,2.6666666666666665,3.0,1.0,135.0,6079
31,MADERA,CA,1.0,2.0,0.0,454.0,6019
32,NEVADA,CA,3.0,2.0,1.0,124.0,6057
33,INYO,CA,3.0,2.0,1.0,,6027
34,MODOC,CA,,2.0,,26.0,6049
35,SISKIYOU,CA,3.0,2.0,1.0,53.0,6093
36,MERCED,CA,2.0,2.0,1.0,234.0,6047
37,EL DORADO,CA,4.0,2.0,1.0,171.0,6017
38,IMPERIAL,CA,1.5,2.0,1.0,,6025
39,YOLO,CA,3.5,2.0,1.0,170.0,6113
40,LAKE,CA,4.0,2.0,1.0,62.0,6033
41,MONO,CA,,1.0,,,6051
42,LASSEN,CA,4.0,1.0,1.0,38.0,6035
43,COLUSA,CA,,1.0,,,6011
44,KINGS,CA,2.0,1.0,1.0,199.0,6031
45,CALAVERAS,CA,3.0,1.0,0.0,25.0,6009
46,MARIPOSA,CA,3.0,1.0,1.0,,0
47,GLENN,CA,,1.0,,47.0,6021
48,TEHAMA,CA,3.0,1.0,1.0,76.0,6103
49,AMADOR,CA,4.0,1.0,1.0,84.0,6005
50,YUBA,CA,1.0,1.0,1.0,173.0,6115
51,SAN BENITO,CA,2.0,1.0,0.0,,6069
52,SUTTER,CA,,1.0,,14.0,6101
53,TUOLUMNE,CA,3.0,1.0,0.0,143.0,6109
54,TRINITY,CA,,1.0,,,0
55,DEL NORTE,CA,3.0,1.0,1.0,49.0,6015
0,HARRIS,TX,3.217391304347826,47.0,1.0,7569.0,48201
1,DALLAS,TX,3.3125,30.0,0.9375,3868.0,48113
2,TARRANT,TX,3.5625,26.0,0.9375,3366.0,48439
3,BEXAR,TX,3.125,18.0,1.0,3377.0,48029
4,TRAVIS,TX,4.0,17.0,1.0,2462.0,48453
5,COLLIN,TX,3.3333333333333335,14.0,1.0,1000.0,48085
6,EL PASO,TX,2.857142857142857,13.0,1.0,122.0,48141
7,DENTON,TX,3.4285714285714284,13.0,0.8571428571428571,618.0,48121
8,WILLIAMSON,TX,4.0,8.0,1.0,539.0,48491
9,FORT BEND,TX,3.4,7.0,1.0,648.0,48157
10,MONTGOMERY,TX,3.0,7.0,1.0,353.0,48339
11,LUBBOCK,TX,3.0,6.0,1.0,941.0,48303
12,CAMERON,TX,3.75,6.0,1.0,882.0,48061
13,HIDALGO,TX,3.4,6.0,1.0,530.0,48215
14,BRAZOS,TX,3.6666666666666665,5.0,0.6666666666666666,435.0,48041
15,BELL,TX,3.6666666666666665,5.0,1.0,877.0,48027
16,WICHITA,TX,4.5,5.0,0.5,565.0,48485
17,HAYS,TX,4.0,4.0,1.0,315.0,48209
18,NUECES,TX,3.3333333333333335,4.0,0.6666666666666666,1249.0,48355
19,SMITH,TX,4.25,4.0,1.0,1038.0,48423
20,TAYLOR,TX,3.5,3.0,1.0,511.0,48441
21,GREGG,TX,2.0,3.0,1.0,149.0,48203
22,JEFFERSON,TX,2.3333333333333335,3.0,1.0,1149.0,48245
23,JOHNSON,TX,4.0,3.0,1.0,366.0,48251
24,POTTER,TX,3.0,3.0,1.0,492.0,48375
25,GRAYSON,TX,2.0,3.0,1.0,255.0,48181
26,GALVESTON,TX,3.0,3.0,1.0,30.0,48167
27,BRAZORIA,TX,3.5,3.0,1.0,165.0,48039
28,TOM GREEN,TX,4.5,3.0,1.0,401.0,48451
29,CHEROKEE,TX,3.5,3.0,1.0,99.0,48073
30,ANGELINA,TX,3.5,3.0,1.0,271.0,48005
31,COLORADO,TX,4.0,2.0,1.0,40.0,48089
32,JONES,TX,,2.0,,,48253
33,BURNET,TX,4.5,2.0,1.0,71.0,48053
34,YOUNG,TX,3.0,2.0,1.0,,48503
35,VICTORIA,TX,4.5,2.0,1.0,,48469
36,LAVACA,TX,4.0,2.0,1.0,25.0,48123
37,HALE,TX,5.0,2.0,1.0,100.0,48189
38,COOKE,TX,2.0,2.0,1.0,,48097
39,UPTON,TX,,2.0,,,0
40,HOWARD,TX,2.0,2.0,1.0,,48227
41,LIBERTY,TX,,2.0,,,48291
42,HARDEMAN,TX,,2.0,,,0
43,NACOGDOCHES,TX,3.5,2.0,1.0,,48347
44,ELLIS,TX,4.0,2.0,1.0,104.0,48139
45,KERR,TX,3.0,2.0,1.0,145.0,48265
46,MATAGORDA,TX,3.0,2.0,1.0,17.0,48321
47,ECTOR,TX,1.5,2.0,1.0,,48135
48,WEBB,TX,3.5,2.0,1.0,,48479
49,KAUFMAN,TX,3.0,2.0,1.0,91.0,48257
50,MIDLAND,TX,2.0,2.0,1.0,,48329
51,PECOS,TX,,2.0,,,48371
52,WOOD,TX,5.0,2.0,1.0,60.0,48499
53,RUNNELS,TX,,2.0,,,0
54,BOWIE,TX,2.5,2.0,1.0,376.0,48037
55,MC LENNAN,TX,3.0,2.0,1.0,514.0,48309
56,CHAMBERS,TX,,2.0,,,48071
57,WHEELER,TX,,2.0,,,0
58,HUNT,TX,3.0,2.0,1.0,,48231
59,LIMESTONE,TX,3.0,2.0,1.0,,48293
60,WILSON,TX,4.0,1.0,1.0,,48493
61,ATASCOSA,TX,5.0,1.0,1.0,67.0,48013
62,BASTROP,TX,,1.0,,36.0,48021
63,POLK,TX,3.0,1.0,1.0,66.0,48373
64,REAGAN,TX,,1.0,,,0
65,GAINES,TX,,1.0,,,48165
66,FAYETTE,TX,4.0,1.0,1.0,65.0,48149
67,FALLS,TX,,1.0,,44.0,48145
68,CAMP,TX,4.0,1.0,1.0,25.0,48063
69,FLOYD,TX,,1.0,,,48153
70,STEPHENS,TX,4.0,1.0,1.0,,48429
71,SABINE,TX,,1.0,,,48403
72,GILLESPIE,TX,5.0,1.0,1.0,86.0,48171
73,GUADALUPE,TX,2.0,1.0,1.0,,48187
74,KLEBERG,TX,2.0,1.0,1.0,106.0,48273
75,UVALDE,TX,4.0,1.0,1.0,,48463
76,SUTTON,TX,,1.0,,,0
77,SAN PATRICIO,TX,4.0,1.0,1.0,,48409
78,MARTIN,TX,,1.0,,,48317
79,CHILDRESS,TX,4.0,1.0,1.0,,0
80,MADISON,TX,,1.0,,25.0,48313
81,KNOX,TX,,1.0,,,48275
82,ROCKWALL,TX,5.0,1.0,1.0,61.0,48397
83,PARMER,TX,,1.0,,25.0,48369
84,MITCHELL,TX,3.0,1.0,1.0,,48335
85,SCHLEICHER,TX,,1.0,,,0
86,WARD,TX,,1.0,,,0
87,DIMMIT,TX,,1.0,,,48127
88,HOCKLEY,TX,3.0,1.0,1.0,78.0,48219
89,WASHINGTON,TX,3.0,1.0,1.0,99.0,48477
90,BURLESON,TX,,1.0,,25.0,48051
91,MILAM,TX,,1.0,,,48331
92,BOSQUE,TX,4.0,1.0,1.0,,0
93,KARNES,TX,4.0,1.0,1.0,,48255
94,MEDINA,TX,3.0,1.0,1.0,,48325
95,DALLAM,TX,,1.0,,,48111
96,PALO PINTO,TX,2.0,1.0,1.0,,48363
97,GRAY,TX,5.0,1.0,1.0,115.0,48179
98,JASPER,TX,4.0,1.0,1.0,59.0,48241
99,LAMPASAS,TX,3.0,1.0,1.0,25.0,48281
100,WALKER,TX,1.0,1.0,1.0,144.0,48471
101,HOOD,TX,4.0,1.0,1.0,,48221
102,WISE,TX,2.0,1.0,1.0,,48497
103,COLEMAN,TX,1.0,1.0,1.0,,0
104,EASTLAND,TX,4.0,1.0,1.0,,48133
105,HASKELL,TX,,1.0,,,0
106,MOORE,TX,3.0,1.0,1.0,,48341
107,SAN AUGUSTINE,TX,,1.0,,18.0,48405
108,STARR,TX,4.0,1.0,1.0,,48427
109,CONCHO,TX,,1.0,,,48095
110,WHARTON,TX,3.0,1.0,1.0,49.0,48481
111,HOUSTON,TX,,1.0,,,0
112,HANSFORD,TX,,1.0,,,48195
113,FREESTONE,TX,3.0,1.0,1.0,48.0,48161
114,DEAF SMITH,TX,2.0,1.0,1.0,,48117
115,BEE,TX,3.0,1.0,1.0,69.0,48025
116,ERATH,TX,4.0,1.0,1.0,98.0,48143
117,TYLER,TX,3.0,1.0,1.0,,48457
118,TERRY,TX,,1.0,,,48445
119,CULBERSON,TX,,1.0,,,0
120,KIMBLE,TX,,1.0,,,0
121,BROWN,TX,2.0,1.0,1.0,,48049
122,HAMILTON,TX,,1.0,,,48193
123,BAYLOR,TX,4.0,1.0,1.0,,0
124,HEMPHILL,TX,,1.0,,,48211
125,HENDERSON,TX,3.0,1.0,1.0,127.0,48213
126,COCHRAN,TX,,1.0,,,0
127,VAL VERDE,TX,2.0,1.0,1.0,93.0,48465
128,DAWSON,TX,,1.0,,,48115
129,WILBARGER,TX,3.0,1.0,1.0,,48487
130,REEVES,TX,,1.0,,,0
131,HUTCHINSON,TX,,1.0,,,48233
132,SCURRY,TX,3.0,1.0,1.0,,48415
133,JIM WELLS,TX,4.0,1.0,1.0,135.0,48249
134,PANOLA,TX,2.0,1.0,1.0,42.0,48365
135,WINKLER,TX,,1.0,,,48495
136,SOMERVELL,TX,3.0,1.0,1.0,,0
137,LYNN,TX,,1.0,,,48305
138,FANNIN,TX,3.0,1.0,1.0,,48147
139,FISHER,TX,,1.0,,,0
140,GRIMES,TX,,1.0,,25.0,48185
141,CALHOUN,TX,,1.0,,,48057
142,CALDWELL,TX,4.0,1.0,1.0,25.0,48055
143,SWISHER,TX,3.0,1.0,1.0,20.0,48437
144,CROSBY,TX,,1.0,,25.0,48107
145,VAN ZANDT,TX,,1.0,,,48467
146,MONTAGUE,TX,3.0,1.0,1.0,,48337
147,COLLINGSWORTH,TX,,1.0,,,0
148,OCHILTREE,TX,4.0,1.0,1.0,,0
149,CLAY,TX,,1.0,,,48077
150,ANDERSON,TX,2.0,1.0,1.0,,48001
151,CRANE,TX,,1.0,,,48103
152,PARKER,TX,3.0,1.0,1.0,,48367
153,BAILEY,TX,,1.0,,,0
154,LAMB,TX,,1.0,,,48279
155,CASTRO,TX,,1.0,,,48069
156,THROCKMORTON,TX,,1.0,,,0
157,NAVARRO,TX,3.0,1.0,1.0,,48349
158,GONZALES,TX,4.0,1.0,1.0,,48177
159,COMAL,TX,4.0,1.0,1.0,,48091
160,NOLAN,TX,4.0,1.0,1.0,,0
161,MC CULLOCH,TX,,1.0,,25.0,48307
162,JACKSON,TX,,1.0,,,48239
163,BREWSTER,TX,4.0,1.0,1.0,,0
164,ANDREWS,TX,3.0,1.0,1.0,,48003
165,AUSTIN,TX,,1.0,,32.0,48015
166,CORYELL,TX,3.0,1.0,1.0,,48099
167,DE WITT,TX,4.0,1.0,1.0,,48123
168,STONEWALL,TX,,1.0,,,0
169,MAVERICK,TX,3.0,1.0,1.0,,48323
170,LAMAR,TX,2.0,1.0,1.0,,48277
171,REFUGIO,TX,,1.0,,,0
172,HOPKINS,TX,3.0,1.0,1.0,96.0,48223
173,LLANO,TX,3.0,1.0,1.0,30.0,48299
174,YOAKUM,TX,,1.0,,,48501
175,RUSK,TX,2.0,1.0,0.0,158.0,48401
176,JACK,TX,,1.0,,,48237
177,COMANCHE,TX,,1.0,,38.0,48093
178,TITUS,TX,3.0,1.0,1.0,,48449
179,HILL,TX,3.0,1.0,1.0,,48217
180,FRIO,TX,,1.0,,22.0,48163
0,MIAMI-DADE,FL,2.3125,19.0,1.0,2729.0,12086
1,BROWARD,FL,2.5,17.0,0.7857142857142857,714.0,12011
2,PALM BEACH,FL,2.1666666666666665,13.0,1.0,1044.0,12099
3,PINELLAS,FL,2.9,12.0,1.0,2409.0,12103
4,DUVAL,FL,3.5714285714285716,10.0,1.0,2885.0,12031
5,BREVARD,FL,3.0,9.0,1.0,900.0,12009
6,HILLSBOROUGH,FL,3.125,9.0,1.0,2816.0,12057
7,ORANGE,FL,3.6666666666666665,7.0,1.0,4405.0,12095
8,PASCO,FL,3.0,7.0,0.8333333333333334,448.0,12101
9,VOLUSIA,FL,2.2,5.0,0.8,839.0,12127
10,MANATEE,FL,2.0,5.0,1.0,,12081
11,POLK,FL,1.6,5.0,1.0,1452.0,12105
12,LEE,FL,3.25,5.0,1.0,,12071
13,LAKE,FL,2.5,5.0,0.5,930.0,12069
14,SARASOTA,FL,3.75,4.0,1.0,,12115
15,OSCEOLA,FL,2.0,4.0,1.0,,12097
16,SANTA ROSA,FL,3.6666666666666665,4.0,1.0,132.0,12113
17,OKALOOSA,FL,3.0,4.0,1.0,,12091
18,MARION,FL,2.0,3.0,1.0,421.0,12083
19,ESCAMBIA,FL,3.3333333333333335,3.0,1.0,1035.0,12033
20,ST. LUCIE,FL,1.5,3.0,1.0,,12111
21,COLLIER,FL,3.0,3.0,1.0,716.0,12021
22,CHARLOTTE,FL,1.3333333333333333,3.0,1.0,,12015
23,LEON,FL,2.0,3.0,1.0,772.0,12073
24,BAY,FL,2.5,3.0,1.0,323.0,12005
25,HERNANDO,FL,1.5,3.0,1.0,,12053
26,MONROE,FL,4.0,3.0,1.0,50.0,12087
27,SEMINOLE,FL,3.0,2.0,1.0,,12117
28,COLUMBIA,FL,3.0,2.0,1.0,,12023
29,CITRUS,FL,1.5,2.0,1.0,198.0,12017
30,HIGHLANDS,FL,3.0,2.0,0.5,161.0,12055
31,CLAY,FL,3.0,2.0,1.0,64.0,12019
32,MARTIN,FL,1.0,2.0,1.0,344.0,12085
33,WALTON,FL,4.0,2.0,1.0,58.0,12131
34,ALACHUA,FL,2.0,2.0,1.0,996.0,12001
35,INDIAN RIVER,FL,2.5,2.0,1.0,339.0,12061
36,GULF,FL,5.0,1.0,1.0,19.0,12045
37,FLAGLER,FL,3.0,1.0,1.0,99.0,12035
38,JACKSON,FL,3.0,1.0,1.0,,12063
39,HOLMES,FL,4.0,1.0,0.0,20.0,12059
40,DE SOTO,FL,3.0,1.0,1.0,,12027
41,MADISON,FL,,1.0,,25.0,12079
42,UNION,FL,,1.0,,,12125
43,BAKER,FL,3.0,1.0,1.0,25.0,12003
44,BRADFORD,FL,3.0,1.0,1.0,,12007
45,NASSAU,FL,5.0,1.0,1.0,62.0,12089
46,SUWANNEE,FL,3.0,1.0,1.0,,12121
47,TAYLOR,FL,2.0,1.0,1.0,48.0,12123
48,WASHINGTON,FL,,1.0,,,12133
49,HARDEE,FL,5.0,1.0,1.0,25.0,12049
50,GADSDEN,FL,,1.0,,,12039
51,FRANKLIN,FL,,1.0,,,12037
52,LEVY,FL,,1.0,,,12075
53,OKEECHOBEE,FL,2.0,1.0,1.0,,12093
54,CALHOUN,FL,,1.0,,25.0,12013
55,ST. JOHNS,FL,4.0,1.0,1.0,335.0,12109
56,PUTNAM,FL,2.0,1.0,1.0,,12107
57,HENDRY,FL,3.0,1.0,1.0,,12051
0,COOK,IL,2.8444444444444446,58.0,1.0,14979.0,17031
1,DU PAGE,IL,3.8333333333333335,7.0,0.8333333333333334,1657.0,17043
2,MADISON,IL,3.0,6.0,1.0,694.0,17119
3,LAKE,IL,3.6,6.0,0.8,660.0,17097
4,KANE,IL,4.2,6.0,1.0,1175.0,17089
5,ST. CLAIR,IL,3.0,4.0,1.0,804.0,17163
6,SANGAMON,IL,2.0,3.0,1.0,1293.0,17167
7,WILL,IL,3.0,3.0,1.0,885.0,17197
8,RANDOLPH,IL,3.6666666666666665,3.0,1.0,,17157
9,WINNEBAGO,IL,2.3333333333333335,3.0,1.0,1082.0,17201
10,CHAMPAIGN,IL,3.0,3.0,1.0,584.0,17019
11,PEORIA,IL,3.0,3.0,1.0,1520.0,17143
12,LA SALLE,IL,4.666666666666667,3.0,1.0,140.0,17099
13,ROCK ISLAND,IL,2.5,2.0,1.0,220.0,17161
14,JEFFERSON,IL,3.5,2.0,1.0,175.0,17081
15,MACOUPIN,IL,,2.0,,50.0,17117
16,VERMILION,IL,2.0,2.0,1.0,233.0,17183
17,MACON,IL,2.5,2.0,1.0,727.0,17115
18,MC HENRY,IL,4.0,2.0,0.5,202.0,17111
19,SALINE,IL,2.5,2.0,1.0,103.0,17165
20,TAZEWELL,IL,2.0,2.0,1.0,157.0,17179
21,MONTGOMERY,IL,3.5,2.0,1.0,50.0,17135
22,KNOX,IL,3.0,2.0,1.0,166.0,17095
23,BUREAU,IL,3.0,2.0,1.0,90.0,17011
24,DE KALB,IL,4.5,2.0,1.0,119.0,17037
25,UNION,IL,4.0,2.0,1.0,,0
26,WHITESIDE,IL,3.0,2.0,1.0,,17195
27,MARION,IL,4.5,2.0,1.0,125.0,17121
28,KANKAKEE,IL,3.5,2.0,1.0,511.0,17091
29,PERRY,IL,2.5,2.0,1.0,25.0,17145
30,HENRY,IL,4.0,2.0,1.0,25.0,17073
31,MC LEAN,IL,3.5,2.0,1.0,356.0,17113
32,WILLIAMSON,IL,2.0,2.0,1.0,104.0,17199
33,CHRISTIAN,IL,3.5,2.0,1.0,50.0,17021
34,JACKSON,IL,2.5,2.0,1.0,165.0,17077
35,BOND,IL,4.0,1.0,1.0,60.0,17005
36,SCHUYLER,IL,,1.0,,,17169
37,PIATT,IL,,1.0,,16.0,17147
38,CLINTON,IL,5.0,1.0,1.0,96.0,17027
39,DE WITT,IL,,1.0,,,17039
40,IROQUOIS,IL,2.0,1.0,1.0,94.0,17075
41,CLAY,IL,2.0,1.0,1.0,,17025
42,WABASH,IL,5.0,1.0,1.0,,17185
43,COLES,IL,3.0,1.0,1.0,203.0,17029
44,RICHLAND,IL,3.0,1.0,1.0,151.0,17159
45,OGLE,IL,,1.0,,25.0,17141
46,MERCER,IL,4.0,1.0,1.0,22.0,17131
47,MORGAN,IL,4.0,1.0,1.0,93.0,17137
48,HARDIN,IL,,1.0,,25.0,17069
49,JERSEY,IL,5.0,1.0,1.0,,17083
50,LIVINGSTON,IL,4.0,1.0,0.0,81.0,17105
51,ADAMS,IL,4.0,1.0,1.0,312.0,17001
52,MC DONOUGH,IL,2.0,1.0,1.0,,17109
53,CRAWFORD,IL,4.0,1.0,1.0,25.0,17033
54,FULTON,IL,4.0,1.0,1.0,144.0,17057
55,EFFINGHAM,IL,3.0,1.0,1.0,146.0,17049
56,WAYNE,IL,4.0,1.0,1.0,15.0,17191
57,LAWRENCE,IL,,1.0,,25.0,17101
58,GREENE,IL,,1.0,,25.0,17061
59,STEPHENSON,IL,4.0,1.0,1.0,203.0,17177
60,LEE,IL,3.0,1.0,1.0,80.0,17103
61,PIKE,IL,3.0,1.0,1.0,25.0,17149
62,FRANKLIN,IL,3.0,1.0,1.0,,17055
63,HAMILTON,IL,2.0,1.0,1.0,,0
64,FAYETTE,IL,,1.0,,,17051
65,JO DAVIESS,IL,,1.0,,19.0,17085
66,WARREN,IL,4.0,1.0,1.0,23.0,17187
67,GRUNDY,IL,4.0,1.0,1.0,89.0,17063
68,MASSAC,IL,3.0,1.0,1.0,,17127
69,HANCOCK,IL,4.0,1.0,1.0,48.0,17067
70,FORD,IL,,1.0,,25.0,17053
71,WASHINGTON,IL,,1.0,,,17189
72,SHELBY,IL,4.0,1.0,1.0,30.0,17173
73,WOODFORD,IL,3.0,1.0,1.0,18.0,17203
74,EDGAR,IL,4.0,1.0,1.0,15.0,17045
75,LOGAN,IL,4.0,1.0,1.0,15.0,17107
76,MASON,IL,4.0,1.0,1.0,,17125
0,NEW YORK,NY,3.0,16.0,1.0,7607.0,36061
1,SUFFOLK,NY,2.5,14.0,1.0,2496.0,36103
2,KINGS,NY,1.4166666666666667,13.0,0.9166666666666666,3344.0,36047
3,WESTCHESTER,NY,2.3333333333333335,11.0,1.0,2158.0,36119
4,NASSAU,NY,2.7,10.0,1.0,4256.0,36059
5,ERIE,NY,2.3333333333333335,9.0,1.0,2190.0,36029
6,BRONX,NY,1.1666666666666667,7.0,1.0,2516.0,36005
7,QUEENS,NY,1.1666666666666667,7.0,1.0,1509.0,36081
8,ST. LAWRENCE,NY,3.75,6.0,1.0,269.0,36089
9,MONROE,NY,2.0,6.0,1.0,1839.0,36055
10,ORANGE,NY,3.5,6.0,1.0,895.0,36071
11,ROCKLAND,NY,1.5,5.0,1.0,644.0,36087
12,ONONDAGA,NY,2.0,4.0,1.0,897.0,36067
13,ALBANY,NY,1.6666666666666667,4.0,1.0,1361.0,36001
14,ONEIDA,NY,1.3333333333333333,4.0,1.0,733.0,36065
15,ULSTER,NY,2.5,3.0,1.0,407.0,36111
16,RENSSELAER,NY,2.5,3.0,1.0,454.0,36083
17,NIAGARA,NY,2.0,3.0,1.0,498.0,36063
18,DELAWARE,NY,3.0,3.0,1.0,72.0,36025
19,CHEMUNG,NY,2.0,3.0,1.0,391.0,36015
20,RICHMOND,NY,1.0,3.0,1.0,1187.0,36085
21,BROOME,NY,2.0,3.0,1.0,767.0,36007
22,JEFFERSON,NY,3.0,3.0,1.0,336.0,36045
23,ONTARIO,NY,2.3333333333333335,3.0,1.0,399.0,36069
24,CHAUTAUQUA,NY,2.5,3.0,1.0,157.0,36013
25,STEUBEN,NY,3.6666666666666665,3.0,0.6666666666666666,288.0,36101
26,MADISON,NY,3.5,2.0,1.0,126.0,36053
27,FRANKLIN,NY,2.0,2.0,1.0,171.0,36033
28,SULLIVAN,NY,2.0,2.0,1.0,179.0,36105
